year,month,date,rolling_15m
2022,8,2022-08-01,29.699598989911188
2022,9,2022-09-01,31.059443441083967
2022,10,2022-10-01,31.49260865479001
2022,11,2022-11-01,31.926942477998068
2022,12,2022-12-01,34.39272775389296
2023,1,2023-01-01,35.969439160559176
2023,2,2023-02-01,36.0703191721714
2023,3,2023-03-01,37.05143565775677
2023,4,2023-04-01,37.202215471715675
2023,5,2023-05-01,39.1629946443537
2023,6,2023-06-01,41.145773404428944
2023,7,2023-07-01,41.773165374831706
2023,8,2023-08-01,40.82861430172061
2023,9,2023-09-01,40.97289984190085
2023,10,2023-10-01,42.503639726534836
2023,11,2023-11-01,41.69341663854468
2023,12,2023-12-01,40.84349320095919
2024,1,2024-01-01,40.42309053707982
2024,2,2024-02-01,40.77859417935732
2024,3,2024-03-01,39.20679770480278
2024,4,2024-04-01,37.704434201542604
2024,5,2024-05-01,37.13879477956896
2024,6,2024-06-01,37.89202855930234
2024,7,2024-07-01,37.475988887603435
2024,8,2024-08-01,37.39035580511197
2024,9,2024-09-01,37.29427934526724
2024,10,2024-10-01,36.62207366269286
2024,11,2024-11-01,37.867591418452335
2024,12,2024-12-01,39.04864204851249
2025,1,2025-01-01,40.17366066075818
2025,2,2025-02-01,43.57495474283066
2025,3,2025-03-01,45.700057281358674
2025,4,2025-04-01,45.483234264350294
2025,5,2025-05-01,45.34789385993678
2025,6,2025-06-01,46.238257280787785
