,track_title,album,release_date_clean,avg_arousal_x,avg_valence_x,mania_index_x,depression_index_x,track_emo_score
167,Pure Souls,Donda,29.08.2021,40.0,57.083333333333336,49.49999999999999,34.75,-1.6769999999999998
168,Come to Life,Donda,29.08.2021,56.666666666666664,59.11764705882353,70.5,26.75,3.8894117647058795
169,No Child Left Behind,Donda,29.08.2021,65.0,63.84615384615385,77.0,25.75,17.18030769230769
170,Jail pt 2,,29.08.2021,65.0,41.15384615384615,83.25,33.375,5.617523076923077
171,Ok Ok pt 2,,29.08.2021,45.0,49.166666666666664,48.12500000000001,41.06249999999999,-0.9508500000000006
172,Junya pt 2,,29.08.2021,62.5,67.0,73.125,22.1875,14.215750000000003
173,Jesus Lord pt 2,,29.08.2021,62.5,73.4,77.125,19.187499999999996,17.591270000000005
174,True Love,Donda 2,24.02.2022,50.0,55.166666666666664,58.08333333333334,32.125,0.0
175,Broken Road,Donda 2,24.02.2022,71.66666666666667,82.09302325581395,94.66666666666667,11.916666666666666,52.703007751937996
176,Get Lost,Donda 2,24.02.2022,55.0,39.39393939393939,62.5,43.33333333333333,-0.5452121212121216
177,Too Easy,Donda 2,24.02.2022,48.333333333333336,62.758620689655174,58.166666666666664,27.66666666666666,0.5242911877394631
178,Flowers,,24.02.2022,55.0,52.5,72.87500000000001,34.4375,1.4382500000000005
179,Security,Donda 2,24.02.2022,45.0,45.27777777777778,49.875,45.18749999999999,-1.4179166666666667
180,We Did It Kid,Donda 2,24.02.2022,63.333333333333336,79.07894736842105,81.74999999999999,15.041666666666668,22.996031189083833
181,Pablo,Donda 2,24.02.2022,73.33333333333333,34.09090909090909,90.0,40.833333333333336,11.861629629629626
182,Louie Bags,,24.02.2022,51.666666666666664,34.516129032258064,64.66666666666666,48.08333333333333,-0.6008410991636791
183,Happy,,24.02.2022,68.33333333333333,79.02439024390245,94.16666666666667,21.166666666666668,37.26563902439023
184,Sci Fi,,24.02.2022,63.333333333333336,45.39473684210526,77.08333333333334,37.70833333333333,5.542994152046786
185,Selfish,,24.02.2022,56.666666666666664,70.29411764705883,68.16666666666666,23.25,6.347109368191719
186,Lord Lift Me Up,,24.02.2022,60.0,40.55555555555556,75.66666666666667,35.5,1.2332444444444461
187,City of Gods,,24.02.2022,53.333333333333336,46.40625,62.583333333333336,44.04166666666667,0.07815046296296332
188,First Time in a Long Time,,24.02.2022,46.666666666666664,65.35714285714286,56.833333333333336,26.91666666666666,1.0819576719576727
189,Eazy,,24.02.2022,63.333333333333336,36.71052631578947,80.08333333333333,39.958333333333336,1.8972959064327488
190,STARS,,10.02.2024,48.333333333333336,66.55172413793103,58.666666666666664,28.583333333333332,0.7111254150702416
191,KEYS TO MY LIFE,,10.02.2024,61.666666666666664,73.24324324324324,76.00000000000001,20.083333333333332,15.72334254254254
192,PAID,,10.02.2024,51.666666666666664,49.354838709677416,62.83333333333333,40.24999999999999,0.07447933094384668
193,TALKING,,10.02.2024,56.666666666666664,53.23529411764706,65.0,31.75,2.4558745098039196
194,BACK TO ME,,10.02.2024,75.0,74.44444444444444,93.33333333333333,18.749999999999996,55.351111111111116
195,HOODRAT,,10.02.2024,50.0,53.0,53.833333333333336,36.58333333333333,0.0
196,DO IT,,10.02.2024,41.666666666666664,46.0,48.83333333333333,48.75,-3.0242370370370386
197,PAPERWORK,,10.02.2024,63.333333333333336,42.36842105263158,80.16666666666667,38.41666666666666,4.33120935672515
198,BURN,,10.02.2024,70.0,40.357142857142854,88.58333333333333,32.458333333333336,11.840400000000002
199,FUK SUMN,,10.02.2024,71.66666666666667,60.23255813953488,93.16666666666666,22.416666666666664,31.857376744186055
200,VULTURES,,10.02.2024,68.33333333333333,31.585365853658537,89.25,39.958333333333336,3.6993288166214966
201,CARNIVAL,,10.02.2024,58.333333333333336,74.42857142857143,77.58333333333333,30.875000000000004,9.763935449735454
202,BEG FORGIVENESS,,10.02.2024,70.0,69.64285714285714,89.25,22.708333333333332,34.06158095238096
203,GOOD (DON'T DIE),,10.02.2024,58.333333333333336,25.142857142857142,72.83333333333334,51.5,-3.2184042328042324
204,PROBLEMATIC,,10.02.2024,60.0,71.94444444444444,73.16666666666669,19.916666666666664,12.073466666666668
205,KING,,10.02.2024,40.0,46.25,48.83333333333333,49.25,-4.086333333333333
206,SLIDE,,03.08.2024,63.333333333333336,67.36842105263158,74.33333333333333,23.0,15.865462768031191
207,TIME MOVING SLOW,,03.08.2024,55.0,54.84848484848485,62.66666666666667,34.25,1.6959515151515157
208,FIELD TRIP,,03.08.2024,65.0,72.56410256410257,79.66666666666667,17.75,22.913107692307698
209,FRIED,,03.08.2024,65.0,44.35897435897436,87.33333333333331,38.58333333333333,7.185230769230769
210,ISABELLA,,03.08.2024,58.333333333333336,34.714285714285715,69.08333333333334,45.95833333333333,-0.9893809523809514
211,PROMOTION,,03.08.2024,56.666666666666664,48.38235294117647,66.58333333333334,35.375,1.4538605664488007
212,HUSBAND,,03.08.2024,58.333333333333336,58.57142857142857,73.33333333333334,24.583333333333336,5.471746031746035
213,LIFESTYLE,,03.08.2024,56.666666666666664,61.029411764705884,70.25,35.625,4.0697071895424815
214,FOREVER,,03.08.2024,53.333333333333336,58.125,66.33333333333333,27.166666666666668,1.320629629629631
215,BOMB,,03.08.2024,63.333333333333336,48.55263157894737,86.91666666666666,43.708333333333336,7.0320920077972735
216,RIVER,,03.08.2024,51.666666666666664,41.935483870967744,57.50000000000001,43.33333333333333,-0.26017682198327335
217,530,,03.08.2024,56.666666666666664,36.76470588235294,72.16666666666667,45.416666666666664,-0.8442457516339869
218,DEAD,,03.08.2024,45.0,18.333333333333332,59.24999999999999,64.95833333333333,-4.389933333333333
219,FOREVER ROLLING,,03.08.2024,46.666666666666664,56.25,53.25000000000001,31.458333333333332,0.16962592592592574
220,SKY CITY,,03.08.2024,65.0,78.71794871794872,83.66666666666667,14.75,27.208
221,MY SOUL,,03.08.2024,60.0,60.69444444444444,75.08333333333333,26.541666666666664,8.006055555555557
