year,month,date,rolling_2m
2023,9,2023-09-01,25.30651712911605
2023,10,2023-10-01,36.7870662638709
2023,11,2023-11-01,31.292561969576287
2023,12,2023-12-01,26.896145883154656
2024,1,2024-01-01,33.98027893148786
2024,2,2024-02-01,48.21369579959405
2024,3,2024-03-01,41.09698736554097
2024,4,2024-04-01,38.33945217836272
2024,5,2024-05-01,38.61369277191974
2024,6,2024-06-01,39.801396576735584
2024,7,2024-07-01,43.29260393766877
2024,8,2024-08-01,43.5550373240405
2024,9,2024-09-01,43.080897225139495
2024,10,2024-10-01,36.962563095478004
2024,11,2024-11-01,35.30574648187189
2024,12,2024-12-01,42.29249582985347
2025,1,2025-01-01,52.92955096001182
2025,2,2025-02-01,62.97675082980348
2025,3,2025-03-01,65.58092222735813
2025,4,2025-04-01,53.0897132485565
2025,5,2025-05-01,44.31565087981217
2025,6,2025-06-01,46.759659988822136
